Day,Date,Number,Price,Revenue
148,2021-05-29,9.7557,45.93,448.0915
149,2021-05-30,9.5513,45.86,438.0177
150,2021-05-31,9.1253,45.71,417.112
151,2021-06-01,10.8361,46.31,501.8357
152,2021-06-02,6.1952,44.68,276.7933
153,2021-06-03,11.2606,46.46,523.1769
154,2021-06-04,13.1533,47.13,619.8687
155,2021-06-05,12.5585,46.92,589.2061
156,2021-06-06,6.0672,44.63,270.8048
157,2021-06-07,13.2197,47.15,623.3061
158,2021-06-08,7.0461,44.98,316.9194
159,2021-06-09,6.6341,44.83,297.428
160,2021-06-10,9.174,45.73,419.4972
161,2021-06-11,9.7185,45.92,446.2547
162,2021-06-12,6.8121,44.9,305.8348
163,2021-06-13,14.4242,47.57,686.2061
164,2021-06-14,4.5253,44.09,199.5299
165,2021-06-15,7.8194,45.25,353.8309
166,2021-06-16,8.4265,45.46,383.0993
167,2021-06-17,9.7952,45.95,450.0444
168,2021-06-18,11.897,46.68,555.4073
169,2021-06-19,12.682,46.96,595.5546
170,2021-06-20,11.6206,46.59,541.374
171,2021-06-21,8.6191,45.53,392.4402
172,2021-06-22,7.3254,45.08,330.2041
173,2021-06-23,7.8779,45.27,356.6368
174,2021-06-24,12.0606,46.74,563.7341
175,2021-06-25,13.5922,47.28,642.6478
176,2021-06-26,12.272,46.82,574.532
177,2021-06-27,9.9043,45.98,455.4328
178,2021-06-28,9.1374,45.71,417.7064
179,2021-06-29,7.0096,44.97,315.1912
180,2021-06-30,7.5898,45.17,342.8259
181,2021-07-01,11.0742,46.4,513.7869
182,2021-07-02,10.4892,46.19,484.4902
183,2021-07-03,13.0151,47.08,612.7201
184,2021-07-04,13.253,47.16,625.028
185,2021-07-05,11.6375,46.59,542.226
186,2021-07-06,6.6046,44.82,296.0363
187,2021-07-07,9.412,45.81,431.167
188,2021-07-08,10.7126,46.27,495.6471
189,2021-07-09,11.6568,46.6,543.2053
190,2021-07-10,16.3661,48.26,789.7674
191,2021-07-11,13.5466,47.26,640.2757
192,2021-07-12,11.4934,46.54,534.9303
193,2021-07-13,9.2631,45.76,423.8626
194,2021-07-14,9.0688,45.69,414.3519
195,2021-07-15,10.2225,46.1,471.21
196,2021-07-16,14.9835,47.77,715.7609
197,2021-07-17,17.3053,48.59,840.8079
198,2021-07-18,13.9838,47.42,663.0924
199,2021-07-19,11.3029,46.48,525.3066
200,2021-07-20,9.5864,45.87,439.743
201,2021-07-21,12.9342,47.05,608.5466
202,2021-07-22,11.6557,46.6,543.1528
203,2021-07-23,14.3849,47.56,684.1389
204,2021-07-24,15.2881,47.88,731.9532
205,2021-07-25,14.2249,47.5,675.731
206,2021-07-26,8.8557,45.61,403.9498
207,2021-07-27,9.6227,45.88,441.5345
208,2021-07-28,12.3278,46.84,577.3843
209,2021-07-29,9.7197,45.92,446.3146
210,2021-07-30,12.7777,46.99,600.4782
211,2021-07-31,15.0838,47.81,721.0844
212,2021-08-01,15.7009,48.02,753.9931
213,2021-08-02,11.6461,46.6,542.6627
214,2021-08-03,8.8093,45.6,401.6923
215,2021-08-04,9.9065,45.98,455.5441
216,2021-08-05,10.1682,46.08,468.5158
217,2021-08-06,13.3797,47.21,631.6022
218,2021-08-07,16.6432,48.35,804.7632
219,2021-08-08,11.2861,46.47,524.4617
220,2021-08-09,10.5397,46.21,487.0068
221,2021-08-10,6.1128,44.65,272.9385
222,2021-08-11,10.084,46.05,464.3365
223,2021-08-12,11.3381,46.49,527.0852
224,2021-08-13,12.6974,46.97,596.3431
225,2021-08-14,12.8176,47.01,602.5343
226,2021-08-15,10.926,46.34,506.3453
227,2021-08-16,12.259,46.81,573.8638
228,2021-08-17,11.0357,46.38,511.8523
229,2021-08-18,7.4355,45.12,335.453
230,2021-08-19,8.9297,45.64,407.5608
231,2021-08-20,11.3477,46.49,527.5679
232,2021-08-21,12.8095,47.01,602.1162
233,2021-08-22,12.2502,46.81,573.4164
234,2021-08-23,12.804,47.0,601.8344
235,2021-08-24,11.789,46.65,549.9175
236,2021-08-25,9.8214,45.95,451.338
237,2021-08-26,8.2997,45.42,376.9681
238,2021-08-27,14.0243,47.43,665.2102
239,2021-08-28,12.6496,46.95,593.8899
240,2021-08-29,16.676,48.37,806.5416
241,2021-08-30,14.3377,47.54,681.655
242,2021-08-31,9.2954,45.77,425.4462
243,2021-09-01,11.014,46.37,510.76
244,2021-09-02,13.3742,47.2,631.3179
245,2021-09-03,10.2548,46.11,472.8173
246,2021-09-04,12.9043,47.04,607.0011
247,2021-09-05,13.7152,47.32,649.0567
248,2021-09-06,10.2031,46.09,470.2494
249,2021-09-07,8.9231,45.64,407.2357
250,2021-09-08,7.9328,45.29,359.2777
251,2021-09-09,12.3096,46.83,576.4527
252,2021-09-10,15.7563,48.04,756.9597
253,2021-09-11,13.4318,47.22,634.3074
254,2021-09-12,14.5574,47.62,693.227
255,2021-09-13,12.1956,46.79,570.6244
256,2021-09-14,8.7867,45.59,400.5919
257,2021-09-15,5.8291,44.55,259.6859
258,2021-09-16,10.2531,46.11,472.7322
259,2021-09-17,10.3608,46.14,478.0889
260,2021-09-18,13.5492,47.27,640.4098
261,2021-09-19,10.498,46.19,484.9272
262,2021-09-20,11.223,46.45,521.2791
263,2021-09-21,12.781,47.0,600.6472
264,2021-09-22,6.4252,44.76,287.5903
265,2021-09-23,9.3489,45.79,428.0712
266,2021-09-24,10.3991,46.16,479.9952
267,2021-09-25,13.8175,47.36,654.3972
268,2021-09-26,11.7577,46.64,548.3266
269,2021-09-27,11.4385,46.52,532.1555
270,2021-09-28,12.8877,47.03,606.1477
271,2021-09-29,8.6725,45.55,395.0357
272,2021-09-30,14.8786,47.73,710.2043
273,2021-10-01,11.3639,46.5,528.3891
274,2021-10-02,13.4077,47.22,633.0548
275,2021-10-03,13.51,47.25,638.3697
276,2021-10-04,9.9266,45.99,456.5369
277,2021-10-05,7.0224,44.97,315.7984
278,2021-10-06,6.9988,44.96,314.6764
279,2021-10-07,13.1376,47.12,619.0555
280,2021-10-08,10.698,46.26,494.9202
281,2021-10-09,12.6116,46.94,591.9341
282,2021-10-10,11.0181,46.38,510.9664
283,2021-10-11,8.1627,45.37,370.3502
284,2021-10-12,10.5396,46.21,487.006
285,2021-10-13,6.912,44.93,310.5639
286,2021-10-14,12.0014,46.72,560.7175
287,2021-10-15,14.4525,47.58,687.6988
288,2021-10-16,14.9625,47.76,714.6472
289,2021-10-17,9.5064,45.84,435.8081
290,2021-10-18,12.3072,46.83,576.3313
291,2021-10-19,9.2398,45.75,422.7211
292,2021-10-20,8.7006,45.56,396.4002
293,2021-10-21,9.8445,45.96,452.4766
294,2021-10-22,13.0544,47.09,614.7512
295,2021-10-23,15.6103,47.99,749.1445
296,2021-10-24,12.4581,46.88,584.0596
297,2021-10-25,9.4676,45.83,433.9015
298,2021-10-26,10.959,46.35,507.9973
299,2021-10-27,8.3416,45.43,378.9894
300,2021-10-28,11.8748,46.68,554.2743
301,2021-10-29,16.7989,48.41,813.2088
302,2021-10-30,14.6853,47.67,699.9779
303,2021-10-31,15.802,48.06,759.4102
304,2021-11-01,10.7905,46.3,499.5516
305,2021-11-02,9.9108,45.99,455.7547
306,2021-11-03,7.6692,45.2,346.63
307,2021-11-04,11.6084,46.58,540.7523
308,2021-11-05,12.1322,46.77,567.3899
309,2021-11-06,17.0443,48.49,826.5591
310,2021-11-07,14.4318,47.58,686.6092
311,2021-11-08,13.8753,47.38,657.4173
312,2021-11-09,12.0893,46.75,565.1981
313,2021-11-10,10.2386,46.1,472.013
314,2021-11-11,10.6383,46.24,491.9348
315,2021-11-12,13.0299,47.08,613.4836
316,2021-11-13,13.791,47.35,653.0133
317,2021-11-14,17.0687,48.5,827.8922
318,2021-11-15,12.5057,46.9,586.5017
319,2021-11-16,8.3402,45.43,378.9222
320,2021-11-17,9.8595,45.97,453.2198
321,2021-11-18,12.5064,46.9,586.5331
322,2021-11-19,13.9846,47.42,663.1307
323,2021-11-20,14.4814,47.59,689.2189
324,2021-11-21,13.2746,47.17,626.1472
325,2021-11-22,11.354,46.49,527.8849
326,2021-11-23,11.1392,46.42,517.0572
327,2021-11-24,13.2331,47.15,623.9983
328,2021-11-25,13.4191,47.22,633.6456
329,2021-11-26,17.5148,48.66,852.2743
330,2021-11-27,13.1075,47.11,617.4948
331,2021-11-28,14.1023,47.46,669.299
332,2021-11-29,13.7855,47.35,652.7269
333,2021-11-30,8.9774,45.66,409.8885
334,2021-12-01,10.6628,46.25,493.1565
335,2021-12-02,13.727,47.33,649.6744
336,2021-12-03,10.1987,46.09,470.0309
337,2021-12-04,16.3445,48.25,788.6029
338,2021-12-05,7.5004,45.14,338.5548
339,2021-12-06,10.6611,46.25,493.0722
340,2021-12-07,10.8699,46.32,503.5309
341,2021-12-08,11.3518,46.49,527.7776
342,2021-12-09,11.0033,46.37,510.2268
343,2021-12-10,13.9551,47.41,661.5902
344,2021-12-11,15.1565,47.83,724.9487
345,2021-12-12,15.219,47.85,728.2719
346,2021-12-13,8.0587,45.33,365.3378
347,2021-12-14,7.3354,45.08,330.678
348,2021-12-15,5.6829,44.5,252.8827
349,2021-12-16,12.4469,46.88,583.4841
350,2021-12-17,13.0603,47.09,615.0588
351,2021-12-18,12.6313,46.94,592.9493
352,2021-12-19,14.6735,47.66,699.3541
353,2021-12-20,9.2162,45.74,421.5652
354,2021-12-21,8.2939,45.42,376.6845
355,2021-12-22,9.5912,45.87,439.9834
356,2021-12-23,13.6419,47.3,645.2385
357,2021-12-24,15.0872,47.81,721.2657
358,2021-12-25,14.4359,47.58,686.8222
359,2021-12-26,16.1521,48.18,778.2248
360,2021-12-27,12.7576,46.99,599.4432
361,2021-12-28,10.774,46.29,498.7244
362,2021-12-29,7.3003,45.07,329.0061
363,2021-12-30,15.9612,48.11,767.9564
364,2021-12-31,12.2569,46.81,573.7599
365,2022-01-01,15.839,48.07,761.3946
366,2022-01-02,18.8539,49.13,926.3149
367,2022-01-03,14.236,47.51,676.3126
368,2022-01-04,14.73,47.68,702.3415
369,2022-01-05,12.399,46.86,581.0307
370,2022-01-06,15.3862,47.91,737.18
371,2022-01-07,17.5583,48.68,854.6592
372,2022-01-08,18.6426,49.06,914.552
373,2022-01-09,16.0196,48.13,771.0944
374,2022-01-10,12.472,46.89,584.7696
375,2022-01-11,12.6857,46.96,595.7422
376,2022-01-12,14.9304,47.75,712.9468
377,2022-01-13,11.683,46.61,544.5334
378,2022-01-14,16.672,48.36,806.3238
379,2022-01-15,14.8208,47.71,707.1398
380,2022-01-16,12.4491,46.88,583.5993
381,2022-01-17,12.2269,46.8,572.2236
382,2022-01-18,10.0166,46.02,460.9963
383,2022-01-19,11.15,46.42,517.6031
384,2022-01-20,14.5763,47.63,694.2234
385,2022-01-21,16.975,48.47,822.7886
386,2022-01-22,14.5104,47.6,690.7479
387,2022-01-23,16.0061,48.13,770.3679
388,2022-01-24,8.9,45.63,406.1121
389,2022-01-25,8.3606,45.44,379.9123
390,2022-01-26,9.2662,45.76,424.0156
391,2022-01-27,8.7136,45.56,397.0314
392,2022-01-28,11.3828,46.5,529.3395
393,2022-01-29,17.2009,48.55,835.102
394,2022-01-30,10.0681,46.04,463.5467
395,2022-01-31,11.3182,46.48,526.0816
396,2022-02-01,9.7357,45.92,447.1059
397,2022-02-02,9.6318,45.89,441.9801
398,2022-02-03,12.6591,46.95,594.3739
399,2022-02-04,10.284,46.12,474.2697
400,2022-02-05,14.31,47.53,680.1998
401,2022-02-06,13.1256,47.12,618.4351
402,2022-02-07,13.138,47.12,619.0757
403,2022-02-08,10.0735,46.04,463.8131
404,2022-02-09,9.6555,45.9,443.1475
405,2022-02-10,9.6957,45.91,445.1296
406,2022-02-11,17.798,48.76,867.829
407,2022-02-12,18.4878,49.0,905.9488
408,2022-02-13,14.9702,47.77,715.0565
409,2022-02-14,15.105,47.81,722.2146
410,2022-02-15,10.0791,46.05,464.0924
411,2022-02-16,12.154,46.77,568.5014
412,2022-02-17,15.3458,47.9,735.0232
413,2022-02-18,18.5123,49.01,907.3095
414,2022-02-19,16.4991,48.3,796.9606
415,2022-02-20,14.8141,47.71,706.7882
416,2022-02-21,12.4252,46.87,582.3699
417,2022-02-22,10.8145,46.3,500.7496
418,2022-02-23,11.4048,46.51,530.4514
419,2022-02-24,15.2657,47.87,730.7604
420,2022-02-25,12.6014,46.93,591.413
421,2022-02-26,16.9249,48.45,820.0619
422,2022-02-27,16.8832,48.44,817.7896
423,2022-02-28,11.367,46.5,528.5437
424,2022-03-01,9.1601,45.72,418.8153
425,2022-03-02,9.2257,45.74,422.0285
426,2022-03-03,12.1802,46.78,569.8412
427,2022-03-04,13.3398,47.19,629.5332
428,2022-03-05,16.6495,48.36,805.1018
429,2022-03-06,15.9557,48.11,767.6602
430,2022-03-07,13.2609,47.16,625.4399
431,2022-03-08,12.1452,46.77,568.0501
432,2022-03-09,7.112,45.0,320.0516
433,2022-03-10,10.6816,46.26,494.0978
434,2022-03-11,12.2776,46.82,574.816
435,2022-03-12,14.9422,47.76,713.573
436,2022-03-13,16.1134,48.17,776.1421
437,2022-03-14,17.2857,48.58,839.7342
438,2022-03-15,13.8045,47.36,653.7195
439,2022-03-16,7.7622,45.23,351.0876
440,2022-03-17,14.1996,47.49,674.4001
441,2022-03-18,18.8824,49.14,927.907
442,2022-03-19,16.8821,48.44,817.7343
443,2022-03-20,16.2719,48.22,784.6828
444,2022-03-21,15.4373,47.93,739.9058
445,2022-03-22,12.0219,46.73,561.762
446,2022-03-23,9.313,45.78,426.3087
447,2022-03-24,11.1459,46.42,517.3975
448,2022-03-25,13.9014,47.39,658.7819
449,2022-03-26,18.9778,49.17,933.2303
450,2022-03-27,15.995,48.13,769.7716
451,2022-03-28,12.0514,46.74,563.2682
452,2022-03-29,8.6744,45.55,395.1273
453,2022-03-30,7.7705,45.23,351.4827
454,2022-03-31,12.0235,46.73,561.843
455,2022-04-01,14.9975,47.77,716.5037
456,2022-04-02,16.3281,48.24,787.7143
457,2022-04-03,16.2634,48.22,784.2237
458,2022-04-04,16.661,48.36,805.7256
459,2022-04-05,13.1196,47.11,618.121
460,2022-04-06,11.9029,46.69,555.7074
461,2022-04-07,11.5263,46.55,536.5983
462,2022-04-08,16.3376,48.25,788.2312
463,2022-04-09,19.6987,49.43,973.6779
464,2022-04-10,16.9199,48.45,819.7894
465,2022-04-11,16.4583,48.29,794.7499
466,2022-04-12,14.7789,47.7,704.9248
467,2022-04-13,12.8885,47.03,606.1878
468,2022-04-14,15.0611,47.8,719.8806
469,2022-04-15,17.1747,48.54,833.6721
470,2022-04-16,20.9983,49.89,1047.5152
471,2022-04-17,16.1748,48.19,779.45
472,2022-04-18,13.283,47.17,626.5848
473,2022-04-19,11.8167,46.66,551.3211
474,2022-04-20,12.6828,46.96,595.5932
475,2022-04-21,10.2638,46.11,473.2644
476,2022-04-22,16.2763,48.22,784.9221
477,2022-04-23,14.5893,47.63,694.9083
478,2022-04-24,13.5275,47.26,639.2801
479,2022-04-25,14.5364,47.61,692.1162
480,2022-04-26,12.5888,46.93,590.7637
481,2022-04-27,13.8318,47.36,655.1441
482,2022-04-28,9.5432,45.86,437.6189
483,2022-04-29,12.5344,46.91,587.9723
484,2022-04-30,18.5164,49.01,907.5375
485,2022-05-01,17.1928,48.55,834.6608
486,2022-05-02,12.2697,46.82,574.4124
487,2022-05-03,10.7863,46.29,499.34
488,2022-05-04,14.8186,47.71,707.0243
489,2022-05-05,12.3317,46.84,577.5842
490,2022-05-06,14.9464,47.76,713.7934
491,2022-05-07,14.9204,47.75,712.4174
492,2022-05-08,14.5091,47.6,690.6784
493,2022-05-09,14.2524,47.51,677.1744
494,2022-05-10,8.8402,45.61,403.1952
495,2022-05-11,11.8156,46.66,551.2648
496,2022-05-12,11.9081,46.69,555.9706
497,2022-05-13,13.25,47.16,624.8748
498,2022-05-14,14.9327,47.75,713.0664
499,2022-05-15,16.8705,48.43,817.1006
500,2022-05-16,13.6871,47.31,647.5928
501,2022-05-17,13.3008,47.18,627.5103
502,2022-05-18,9.2418,45.75,422.8156
503,2022-05-19,9.1155,45.71,416.634
504,2022-05-20,19.4405,49.34,959.1486
505,2022-05-21,15.3955,47.91,737.6742
506,2022-05-22,11.8172,46.66,551.35
507,2022-05-23,12.8879,47.03,606.1563
508,2022-05-24,18.7534,49.1,920.7186
509,2022-05-25,12.2671,46.81,574.2796
510,2022-05-26,13.72,47.33,649.3066
511,2022-05-27,15.7881,48.05,758.6678
512,2022-05-28,16.2054,48.2,781.0949
513,2022-05-29,13.2638,47.17,625.5912
514,2022-05-30,16.8472,48.43,815.8367
515,2022-05-31,13.0322,47.08,613.6047
516,2022-06-01,10.8593,46.32,502.9976
517,2022-06-02,12.5463,46.91,588.5799
518,2022-06-03,15.4515,47.93,740.663
519,2022-06-04,18.6527,49.06,915.1131
520,2022-06-05,14.9058,47.74,711.642
521,2022-06-06,11.2611,46.46,523.2013
522,2022-06-07,9.7712,45.94,448.8554
523,2022-06-08,12.8232,47.01,602.8232
524,2022-06-09,14.0825,47.45,668.257
525,2022-06-10,12.9623,47.06,609.9934
526,2022-06-11,17.223,48.56,836.3072
527,2022-06-12,15.4762,47.94,741.9782
528,2022-06-13,16.5481,48.32,799.6103
529,2022-06-14,10.1691,46.08,468.56
530,2022-06-15,8.5479,45.51,388.9851
531,2022-06-16,13.1839,47.14,621.4489
532,2022-06-17,17.1794,48.54,833.929
533,2022-06-18,19.6704,49.42,972.0818
534,2022-06-19,16.5249,48.31,798.3555
535,2022-06-20,11.2677,46.46,523.5336
536,2022-06-21,10.2375,46.1,471.955
537,2022-06-22,11.6675,46.6,543.7489
538,2022-06-23,10.036,46.03,461.9577
539,2022-06-24,17.8827,48.79,872.4921
540,2022-06-25,17.2617,48.57,838.4216
541,2022-06-26,17.2609,48.57,838.3796
542,2022-06-27,12.8034,47.0,601.8003
543,2022-06-28,11.5119,46.55,535.8662
544,2022-06-29,14.9951,47.77,716.3794
545,2022-06-30,12.7954,47.0,601.388
546,2022-07-01,15.7583,48.04,757.0699
547,2022-07-02,20.2549,49.62,1005.1305
548,2022-07-03,18.4687,49.0,904.8926
549,2022-07-04,13.1636,47.13,620.3987
550,2022-07-05,11.066,46.39,513.3774
551,2022-07-06,14.8311,47.72,707.6878
552,2022-07-07,17.3857,48.61,845.2063
553,2022-07-08,22.8442,50.53,1154.4301
554,2022-07-09,23.8084,50.87,1211.2281
555,2022-07-10,23.517,50.77,1193.9933
556,2022-07-11,21.3135,50.0,1065.6006
557,2022-07-12,12.8291,47.01,603.1232
558,2022-07-13,13.217,47.15,623.1629
559,2022-07-14,18.2431,48.92,892.3907
560,2022-07-15,21.4633,50.05,1074.2171
561,2022-07-16,23.4367,50.74,1189.2567
562,2022-07-17,24.8586,51.24,1273.8364
563,2022-07-18,22.6161,50.45,1141.0838
564,2022-07-19,17.7374,48.74,864.4952
565,2022-07-20,20.1508,49.59,999.2253
566,2022-07-21,22.1732,50.3,1115.2853
567,2022-07-22,26.8051,51.93,1391.9329
568,2022-07-23,26.0114,51.65,1343.4565
569,2022-07-24,23.0433,50.6,1166.1054
570,2022-07-25,17.4431,48.64,848.3465
571,2022-07-26,18.6713,49.07,916.1467
572,2022-07-27,16.0499,48.15,772.7227
573,2022-07-28,19.6192,49.4,969.1987
574,2022-07-29,17.608,48.69,857.3896
575,2022-07-30,23.7512,50.85,1207.8411
576,2022-07-31,19.4162,49.33,957.7861
577,2022-08-01,16.5749,48.33,801.0609
578,2022-08-02,14.2606,47.52,677.6046
579,2022-08-03,9.1065,45.7,416.1921
580,2022-08-04,12.5861,46.93,590.6254
581,2022-08-05,17.7524,48.74,865.3231
582,2022-08-06,16.8634,48.43,816.7144
583,2022-08-07,20.2131,49.61,1002.7597
584,2022-08-08,15.2159,47.85,728.1066
585,2022-08-09,10.3313,46.13,476.62
586,2022-08-10,10.1352,46.06,466.8738
587,2022-08-11,13.4414,47.23,634.8033
588,2022-08-12,16.235,48.21,782.6956
589,2022-08-13,19.0115,49.19,935.1131
590,2022-08-14,14.9808,47.77,715.6205
591,2022-08-15,13.3616,47.2,630.6629
592,2022-08-16,12.2985,46.83,575.8853
593,2022-08-17,11.0211,46.38,511.1165
594,2022-08-18,11.235,46.45,521.8818
595,2022-08-19,16.2457,48.21,783.2689
596,2022-08-20,15.7557,48.04,756.9312
597,2022-08-21,14.9848,47.77,715.8322
598,2022-08-22,9.9241,45.99,456.4148
599,2022-08-23,12.6177,46.94,592.2477
600,2022-08-24,6.8696,44.92,308.5575
601,2022-08-25,12.8647,47.02,604.9609
602,2022-08-26,13.4081,47.22,633.0763
603,2022-08-27,11.0429,46.38,512.2144
604,2022-08-28,14.8612,47.73,709.2787
605,2022-08-29,8.9923,45.66,410.6119
606,2022-08-30,13.6745,47.31,646.9359
607,2022-08-31,12.285,46.82,575.1952
608,2022-09-01,12.7366,46.98,598.36
609,2022-09-02,12.4754,46.89,584.9474
610,2022-09-03,9.6421,45.89,442.4894
611,2022-09-04,12.2794,46.82,574.9084
